product,price,quantity,date,region
vermilion morsel,$4.99 ,581,2/7/2018,south
vermilion morsel,$4.99 ,550,2/7/2018,east
vermilion morsel,$4.99 ,506,2/7/2018,west
lapis morsel,$1.99 ,518,2/7/2018,north
lapis morsel,$1.99 ,537,2/7/2018,south
lapis morsel,$1.99 ,558,2/7/2018,east
lapis morsel,$1.99 ,536,2/7/2018,west
pink morsel,$3.00 ,534,2/8/2018,north
pink morsel,$3.00 ,512,2/8/2018,south
pink morsel,$3.00 ,501,2/8/2018,east
pink morsel,$3.00 ,567,2/8/2018,west
gold morsel,$9.99 ,590,2/8/2018,north
gold morsel,$9.99 ,501,2/8/2018,south
gold morsel,$9.99 ,515,2/8/2018,east
gold morsel,$9.99 ,514,2/8/2018,west
magenta morsel,$2.50 ,559,2/8/2018,north
magenta morsel,$2.50 ,550,2/8/2018,south
magenta morsel,$2.50 ,557,2/8/2018,east
magenta morsel,$2.50 ,514,2/8/2018,west
chartreuse morsel,$3.00 ,600,2/8/2018,north
chartreuse morsel,$3.00 ,542,2/8/2018,south
chartreuse morsel,$3.00 ,535,2/8/2018,east
chartreuse morsel,$3.00 ,510,2/8/2018,west
periwinkle morsel,$1.25 ,504,2/8/2018,north
periwinkle morsel,$1.25 ,529,2/8/2018,south
periwinkle morsel,$1.25 ,579,2/8/2018,east
periwinkle morsel,$1.25 ,511,2/8/2018,west
vermilion morsel,$4.99 ,500,2/8/2018,north
vermilion morsel,$4.99 ,520,2/8/2018,south
vermilion morsel,$4.99 ,537,2/8/2018,east
vermilion morsel,$4.99 ,600,2/8/2018,west
lapis morsel,$1.99 ,565,2/8/2018,north
lapis morsel,$1.99 ,501,2/8/2018,south
lapis morsel,$1.99 ,533,2/8/2018,east
lapis morsel,$1.99 ,500,2/8/2018,west
pink morsel,$3.00 ,586,2/9/2018,north
pink morsel,$3.00 ,554,2/9/2018,south
pink morsel,$3.00 ,594,2/9/2018,east
pink morsel,$3.00 ,505,2/9/2018,west
gold morsel,$9.99 ,597,2/9/2018,north
gold morsel,$9.99 ,584,2/9/2018,south
gold morsel,$9.99 ,553,2/9/2018,east
gold morsel,$9.99 ,584,2/9/2018,west
magenta morsel,$2.50 ,594,2/9/2018,north
magenta morsel,$2.50 ,568,2/9/2018,south
magenta morsel,$2.50 ,556,2/9/2018,east
magenta morsel,$2.50 ,579,2/9/2018,west
chartreuse morsel,$3.00 ,588,2/9/2018,north
chartreuse morsel,$3.00 ,540,2/9/2018,south
chartreuse morsel,$3.00 ,543,2/9/2018,east
chartreuse morsel,$3.00 ,558,2/9/2018,west
periwinkle morsel,$1.25 ,578,2/9/2018,north
periwinkle morsel,$1.25 ,518,2/9/2018,south
periwinkle morsel,$1.25 ,591,2/9/2018,east
periwinkle morsel,$1.25 ,525,2/9/2018,west
vermilion morsel,$4.99 ,565,2/9/2018,north
vermilion morsel,$4.99 ,600,2/9/2018,south
vermilion morsel,$4.99 ,574,2/9/2018,east
vermilion morsel,$4.99 ,511,2/9/2018,west
lapis morsel,$1.99 ,512,2/9/2018,north
lapis morsel,$1.99 ,540,2/9/2018,south
lapis morsel,$1.99 ,575,2/9/2018,east
lapis morsel,$1.99 ,518,2/9/2018,west
pink morsel,$3.00 ,554,2/10/2018,north
pink morsel,$3.00 ,519,2/10/2018,south
pink morsel,$3.00 ,550,2/10/2018,east
pink morsel,$3.00 ,558,2/10/2018,west
gold morsel,$9.99 ,509,2/10/2018,north
gold morsel,$9.99 ,548,2/10/2018,south
gold morsel,$9.99 ,517,2/10/2018,east
gold morsel,$9.99 ,523,2/10/2018,west
magenta morsel,$2.50 ,600,2/10/2018,north
magenta morsel,$2.50 ,562,2/10/2018,south
magenta morsel,$2.50 ,576,2/10/2018,east
magenta morsel,$2.50 ,511,2/10/2018,west
chartreuse morsel,$3.00 ,591,2/10/2018,north
chartreuse morsel,$3.00 ,569,2/10/2018,south
chartreuse morsel,$3.00 ,577,2/10/2018,east
chartreuse morsel,$3.00 ,545,2/10/2018,west
periwinkle morsel,$1.25 ,546,2/10/2018,north
periwinkle morsel,$1.25 ,550,2/10/2018,south
periwinkle morsel,$1.25 ,519,2/10/2018,east
periwinkle morsel,$1.25 ,586,2/10/2018,west
vermilion morsel,$4.99 ,537,2/10/2018,north
vermilion morsel,$4.99 ,571,2/10/2018,south
vermilion morsel,$4.99 ,546,2/10/2018,east
vermilion morsel,$4.99 ,549,2/10/2018,west
lapis morsel,$1.99 ,599,2/10/2018,north
lapis morsel,$1.99 ,570,2/10/2018,south
lapis morsel,$1.99 ,557,2/10/2018,east
lapis morsel,$1.99 ,580,2/10/2018,west
pink morsel,$3.00 ,518,2/11/2018,north
pink morsel,$3.00 ,529,2/11/2018,south
pink morsel,$3.00 ,521,2/11/2018,east
pink morsel,$3.00 ,588,2/11/2018,west
gold morsel,$9.99 ,518,2/11/2018,north
gold morsel,$9.99 ,578,2/11/2018,south
gold morsel,$9.99 ,534,2/11/2018,east
gold morsel,$9.99 ,508,2/11/2018,west
magenta morsel,$2.50 ,579,2/11/2018,north
magenta morsel,$2.50 ,516,2/11/2018,south
magenta morsel,$2.50 ,543,2/11/2018,east
magenta morsel,$2.50 ,500,2/11/2018,west
chartreuse morsel,$3.00 ,589,2/11/2018,north
chartreuse morsel,$3.00 ,511,2/11/2018,south
chartreuse morsel,$3.00 ,550,2/11/2018,east
chartreuse morsel,$3.00 ,515,2/11/2018,west
periwinkle morsel,$1.25 ,572,2/11/2018,north
periwinkle morsel,$1.25 ,503,2/11/2018,south
periwinkle morsel,$1.25 ,545,2/11/2018,east
periwinkle morsel,$1.25 ,540,2/11/2018,west
vermilion morsel,$4.99 ,521,2/11/2018,north
vermilion morsel,$4.99 ,503,2/11/2018,south
vermilion morsel,$4.99 ,558,2/11/2018,east
vermilion morsel,$4.99 ,548,2/11/2018,west
lapis morsel,$1.99 ,501,2/11/2018,north
lapis morsel,$1.99 ,567,2/11/2018,south
lapis morsel,$1.99 ,543,2/11/2018,east
lapis morsel,$1.99 ,579,2/11/2018,west
pink morsel,$3.00 ,586,2/12/2018,north
pink morsel,$3.00 ,536,2/12/2018,south
pink morsel,$3.00 ,523,2/12/2018,east
pink morsel,$3.00 ,551,2/12/2018,west
gold morsel,$9.99 ,534,2/12/2018,north
gold morsel,$9.99 ,543,2/12/2018,south
gold morsel,$9.99 ,511,2/12/2018,east
gold morsel,$9.99 ,515,2/12/2018,west
magenta morsel,$2.50 ,500,2/12/2018,north
magenta morsel,$2.50 ,532,2/12/2018,south
magenta morsel,$2.50 ,517,2/12/2018,east
magenta morsel,$2.50 ,530,2/12/2018,west
chartreuse morsel,$3.00 ,541,2/12/2018,north
chartreuse morsel,$3.00 ,521,2/12/2018,south
chartreuse morsel,$3.00 ,531,2/12/2018,east
chartreuse morsel,$3.00 ,509,2/12/2018,west
periwinkle morsel,$1.25 ,522,2/12/2018,north
periwinkle morsel,$1.25 ,502,2/12/2018,south
periwinkle morsel,$1.25 ,522,2/12/2018,east
periwinkle morsel,$1.25 ,579,2/12/2018,west
vermilion morsel,$4.99 ,509,2/12/2018,north
vermilion morsel,$4.99 ,594,2/12/2018,south
vermilion morsel,$4.99 ,580,2/12/2018,east
vermilion morsel,$4.99 ,523,2/12/2018,west
lapis morsel,$1.99 ,578,2/12/2018,north
lapis morsel,$1.99 ,573,2/12/2018,south
lapis morsel,$1.99 ,523,2/12/2018,east
lapis morsel,$1.99 ,507,2/12/2018,west
pink morsel,$3.00 ,524,2/13/2018,north
pink morsel,$3.00 ,572,2/13/2018,south
pink morsel,$3.00 ,591,2/13/2018,east
pink morsel,$3.00 ,575,2/13/2018,west
gold morsel,$9.99 ,521,2/13/2018,north
gold morsel,$9.99 ,584,2/13/2018,south
gold morsel,$9.99 ,516,2/13/2018,east
gold morsel,$9.99 ,517,2/13/2018,west
magenta morsel,$2.50 ,547,2/13/2018,north
magenta morsel,$2.50 ,597,2/13/2018,south
magenta morsel,$2.50 ,599,2/13/2018,east
magenta morsel,$2.50 ,585,2/13/2018,west
chartreuse morsel,$3.00 ,578,2/13/2018,north
chartreuse morsel,$3.00 ,572,2/13/2018,south
chartreuse morsel,$3.00 ,590,2/13/2018,east
chartreuse morsel,$3.00 ,512,2/13/2018,west
periwinkle morsel,$1.25 ,515,2/13/2018,north
periwinkle morsel,$1.25 ,504,2/13/2018,south
periwinkle morsel,$1.25 ,538,2/13/2018,east
periwinkle morsel,$1.25 ,515,2/13/2018,west
vermilion morsel,$4.99 ,585,2/13/2018,north
vermilion morsel,$4.99 ,571,2/13/2018,south
vermilion morsel,$4.99 ,538,2/13/2018,east
vermilion morsel,$4.99 ,500,2/13/2018,west
lapis morsel,$1.99 ,501,2/13/2018,north
lapis morsel,$1.99 ,541,2/13/2018,south
lapis morsel,$1.99 ,564,2/13/2018,east
lapis morsel,$1.99 ,501,2/13/2018,west
pink morsel,$3.00 ,589,2/14/2018,north
pink morsel,$3.00 ,570,2/14/2018,south
pink morsel,$3.00 ,566,2/14/2018,east
pink morsel,$3.00 ,504,2/14/2018,west
gold morsel,$9.99 ,508,2/14/2018,north
gold morsel,$9.99 ,576,2/14/2018,south
gold morsel,$9.99 ,536,2/14/2018,east
gold morsel,$9.99 ,546,2/14/2018,west
magenta morsel,$2.50 ,594,2/14/2018,north
magenta morsel,$2.50 ,542,2/14/2018,south
magenta morsel,$2.50 ,507,2/14/2018,east
magenta morsel,$2.50 ,516,2/14/2018,west
chartreuse morsel,$3.00 ,527,2/14/2018,north
chartreuse morsel,$3.00 ,566,2/14/2018,south
chartreuse morsel,$3.00 ,598,2/14/2018,east
chartreuse morsel,$3.00 ,524,2/14/2018,west
periwinkle morsel,$1.25 ,595,2/14/2018,north
periwinkle morsel,$1.25 ,600,2/14/2018,south
periwinkle morsel,$1.25 ,558,2/14/2018,east
periwinkle morsel,$1.25 ,527,2/14/2018,west
vermilion morsel,$4.99 ,525,2/14/2018,north
vermilion morsel,$4.99 ,532,2/14/2018,south
vermilion morsel,$4.99 ,547,2/14/2018,east
vermilion morsel,$4.99 ,512,2/14/2018,west
lapis morsel,$1.99 ,531,2/14/2018,north
lapis morsel,$1.99 ,545,2/14/2018,south
lapis morsel,$1.99 ,596,2/14/2018,east
lapis morsel,$1.99 ,517,2/14/2018,west
pink morsel,$3.00 ,582,2/15/2018,north
pink morsel,$3.00 ,578,2/15/2018,south
pink morsel,$3.00 ,508,2/15/2018,east
pink morsel,$3.00 ,538,2/15/2018,west
gold morsel,$9.99 ,535,2/15/2018,north
gold morsel,$9.99 ,508,2/15/2018,south
gold morsel,$9.99 ,577,2/15/2018,east
gold morsel,$9.99 ,511,2/15/2018,west
magenta morsel,$2.50 ,523,2/15/2018,north
magenta morsel,$2.50 ,530,2/15/2018,south
magenta morsel,$2.50 ,582,2/15/2018,east
magenta morsel,$2.50 ,562,2/15/2018,west
chartreuse morsel,$3.00 ,535,2/15/2018,north
chartreuse morsel,$3.00 ,533,2/15/2018,south
chartreuse morsel,$3.00 ,588,2/15/2018,east
chartreuse morsel,$3.00 ,508,2/15/2018,west
periwinkle morsel,$1.25 ,511,2/15/2018,north
periwinkle morsel,$1.25 ,541,2/15/2018,south
periwinkle morsel,$1.25 ,529,2/15/2018,east
periwinkle morsel,$1.25 ,570,2/15/2018,west
vermilion morsel,$4.99 ,518,2/15/2018,north
vermilion morsel,$4.99 ,533,2/15/2018,south
vermilion morsel,$4.99 ,533,2/15/2018,east
vermilion morsel,$4.99 ,553,2/15/2018,west
lapis morsel,$1.99 ,526,2/15/2018,north
lapis morsel,$1.99 ,555,2/15/2018,south
lapis morsel,$1.99 ,552,2/15/2018,east
lapis morsel,$1.99 ,553,2/15/2018,west
pink morsel,$3.00 ,526,2/16/2018,north
pink morsel,$3.00 ,594,2/16/2018,south
pink morsel,$3.00 ,509,2/16/2018,east
pink morsel,$3.00 ,584,2/16/2018,west
gold morsel,$9.99 ,506,2/16/2018,north
gold morsel,$9.99 ,591,2/16/2018,south
gold morsel,$9.99 ,503,2/16/2018,east
gold morsel,$9.99 ,519,2/16/2018,west
magenta morsel,$2.50 ,548,2/16/2018,north
magenta morsel,$2.50 ,578,2/16/2018,south
magenta morsel,$2.50 ,518,2/16/2018,east
magenta morsel,$2.50 ,564,2/16/2018,west
chartreuse morsel,$3.00 ,500,2/16/2018,north
chartreuse morsel,$3.00 ,533,2/16/2018,south
chartreuse morsel,$3.00 ,501,2/16/2018,east
chartreuse morsel,$3.00 ,529,2/16/2018,west
periwinkle morsel,$1.25 ,597,2/16/2018,north
periwinkle morsel,$1.25 ,521,2/16/2018,south
periwinkle morsel,$1.25 ,557,2/16/2018,east
periwinkle morsel,$1.25 ,542,2/16/2018,west
vermilion morsel,$4.99 ,519,2/16/2018,north
vermilion morsel,$4.99 ,593,2/16/2018,south
vermilion morsel,$4.99 ,571,2/16/2018,east
vermilion morsel,$4.99 ,510,2/16/2018,west
lapis morsel,$1.99 ,515,2/16/2018,north
lapis morsel,$1.99 ,510,2/16/2018,south
lapis morsel,$1.99 ,521,2/16/2018,east
lapis morsel,$1.99 ,574,2/16/2018,west
pink morsel,$3.00 ,595,2/17/2018,north
pink morsel,$3.00 ,563,2/17/2018,south
pink morsel,$3.00 ,547,2/17/2018,east
pink morsel,$3.00 ,525,2/17/2018,west
gold morsel,$9.99 ,564,2/17/2018,north
gold morsel,$9.99 ,573,2/17/2018,south
gold morsel,$9.99 ,524,2/17/2018,east
gold morsel,$9.99 ,530,2/17/2018,west
magenta morsel,$2.50 ,595,2/17/2018,north
magenta morsel,$2.50 ,503,2/17/2018,south
magenta morsel,$2.50 ,580,2/17/2018,east
magenta morsel,$2.50 ,568,2/17/2018,west
chartreuse morsel,$3.00 ,528,2/17/2018,north
chartreuse morsel,$3.00 ,573,2/17/2018,south
chartreuse morsel,$3.00 ,578,2/17/2018,east
chartreuse morsel,$3.00 ,550,2/17/2018,west
periwinkle morsel,$1.25 ,555,2/17/2018,north
periwinkle morsel,$1.25 ,531,2/17/2018,south
periwinkle morsel,$1.25 ,515,2/17/2018,east
periwinkle morsel,$1.25 ,545,2/17/2018,west
vermilion morsel,$4.99 ,520,2/17/2018,north
vermilion morsel,$4.99 ,575,2/17/2018,south
vermilion morsel,$4.99 ,573,2/17/2018,east
vermilion morsel,$4.99 ,520,2/17/2018,west
lapis morsel,$1.99 ,515,2/17/2018,north
lapis morsel,$1.99 ,599,2/17/2018,south
lapis morsel,$1.99 ,569,2/17/2018,east
lapis morsel,$1.99 ,589,2/17/2018,west
pink morsel,$3.00 ,548,2/18/2018,north
pink morsel,$3.00 ,558,2/18/2018,south
pink morsel,$3.00 ,517,2/18/2018,east
pink morsel,$3.00 ,579,2/18/2018,west
gold morsel,$9.99 ,521,2/18/2018,north
gold morsel,$9.99 ,568,2/18/2018,south
gold morsel,$9.99 ,540,2/18/2018,east
gold morsel,$9.99 ,583,2/18/2018,west
magenta morsel,$2.50 ,575,2/18/2018,north
magenta morsel,$2.50 ,506,2/18/2018,south
magenta morsel,$2.50 ,532,2/18/2018,east
magenta morsel,$2.50 ,509,2/18/2018,west
chartreuse morsel,$3.00 ,591,2/18/2018,north
chartreuse morsel,$3.00 ,512,2/18/2018,south
chartreuse morsel,$3.00 ,539,2/18/2018,east
chartreuse morsel,$3.00 ,564,2/18/2018,west
periwinkle morsel,$1.25 ,513,2/18/2018,north
periwinkle morsel,$1.25 ,529,2/18/2018,south
periwinkle morsel,$1.25 ,577,2/18/2018,east
periwinkle morsel,$1.25 ,504,2/18/2018,west
vermilion morsel,$4.99 ,569,2/18/2018,north
vermilion morsel,$4.99 ,578,2/18/2018,south
vermilion morsel,$4.99 ,516,2/18/2018,east
vermilion morsel,$4.99 ,528,2/18/2018,west
lapis morsel,$1.99 ,575,2/18/2018,north
lapis morsel,$1.99 ,536,2/18/2018,south
lapis morsel,$1.99 ,504,2/18/2018,east
lapis morsel,$1.99 ,573,2/18/2018,west
pink morsel,$3.00 ,521,2/19/2018,north
pink morsel,$3.00 ,549,2/19/2018,south
pink morsel,$3.00 ,535,2/19/2018,east
pink morsel,$3.00 ,513,2/19/2018,west
gold morsel,$9.99 ,562,2/19/2018,north
gold morsel,$9.99 ,593,2/19/2018,south
gold morsel,$9.99 ,593,2/19/2018,east
gold morsel,$9.99 ,597,2/19/2018,west
magenta morsel,$2.50 ,511,2/19/2018,north
magenta morsel,$2.50 ,509,2/19/2018,south
magenta morsel,$2.50 ,590,2/19/2018,east
magenta morsel,$2.50 ,575,2/19/2018,west
chartreuse morsel,$3.00 ,519,2/19/2018,north
chartreuse morsel,$3.00 ,521,2/19/2018,south
chartreuse morsel,$3.00 ,532,2/19/2018,east
chartreuse morsel,$3.00 ,504,2/19/2018,west
periwinkle morsel,$1.25 ,508,2/19/2018,north
periwinkle morsel,$1.25 ,528,2/19/2018,south
periwinkle morsel,$1.25 ,555,2/19/2018,east
periwinkle morsel,$1.25 ,582,2/19/2018,west
vermilion morsel,$4.99 ,596,2/19/2018,north
vermilion morsel,$4.99 ,570,2/19/2018,south
vermilion morsel,$4.99 ,572,2/19/2018,east
vermilion morsel,$4.99 ,594,2/19/2018,west
lapis morsel,$1.99 ,551,2/19/2018,north
lapis morsel,$1.99 ,503,2/19/2018,south
lapis morsel,$1.99 ,568,2/19/2018,east
lapis morsel,$1.99 ,561,2/19/2018,west
pink morsel,$3.00 ,566,2/20/2018,north
pink morsel,$3.00 ,525,2/20/2018,south
pink morsel,$3.00 ,500,2/20/2018,east
pink morsel,$3.00 ,517,2/20/2018,west
gold morsel,$9.99 ,581,2/20/2018,north
gold morsel,$9.99 ,544,2/20/2018,south
gold morsel,$9.99 ,569,2/20/2018,east
gold morsel,$9.99 ,595,2/20/2018,west
magenta morsel,$2.50 ,521,2/20/2018,north
magenta morsel,$2.50 ,583,2/20/2018,south
magenta morsel,$2.50 ,578,2/20/2018,east
magenta morsel,$2.50 ,573,2/20/2018,west
chartreuse morsel,$3.00 ,557,2/20/2018,north
chartreuse morsel,$3.00 ,582,2/20/2018,south
chartreuse morsel,$3.00 ,552,2/20/2018,east
chartreuse morsel,$3.00 ,524,2/20/2018,west
periwinkle morsel,$1.25 ,593,2/20/2018,north
periwinkle morsel,$1.25 ,530,2/20/2018,south
periwinkle morsel,$1.25 ,521,2/20/2018,east
periwinkle morsel,$1.25 ,597,2/20/2018,west
vermilion morsel,$4.99 ,581,2/20/2018,north
vermilion morsel,$4.99 ,521,2/20/2018,south
vermilion morsel,$4.99 ,583,2/20/2018,east
vermilion morsel,$4.99 ,517,2/20/2018,west
lapis morsel,$1.99 ,522,2/20/2018,north
lapis morsel,$1.99 ,533,2/20/2018,south
lapis morsel,$1.99 ,587,2/20/2018,east
lapis morsel,$1.99 ,518,2/20/2018,west
pink morsel,$3.00 ,579,2/21/2018,north
pink morsel,$3.00 ,514,2/21/2018,south
pink morsel,$3.00 ,555,2/21/2018,east
pink morsel,$3.00 ,516,2/21/2018,west
gold morsel,$9.99 ,575,2/21/2018,north
gold morsel,$9.99 ,500,2/21/2018,south
gold morsel,$9.99 ,558,2/21/2018,east
gold morsel,$9.99 ,508,2/21/2018,west
magenta morsel,$2.50 ,587,2/21/2018,north
magenta morsel,$2.50 ,569,2/21/2018,south
magenta morsel,$2.50 ,507,2/21/2018,east
magenta morsel,$2.50 ,517,2/21/2018,west
chartreuse morsel,$3.00 ,546,2/21/2018,north
chartreuse morsel,$3.00 ,563,2/21/2018,south
chartreuse morsel,$3.00 ,512,2/21/2018,east
chartreuse morsel,$3.00 ,556,2/21/2018,west
periwinkle morsel,$1.25 ,507,2/21/2018,north
periwinkle morsel,$1.25 ,584,2/21/2018,south
periwinkle morsel,$1.25 ,558,2/21/2018,east
periwinkle morsel,$1.25 ,594,2/21/2018,west
vermilion morsel,$4.99 ,557,2/21/2018,north
vermilion morsel,$4.99 ,522,2/21/2018,south
vermilion morsel,$4.99 ,568,2/21/2018,east
vermilion morsel,$4.99 ,588,2/21/2018,west
lapis morsel,$1.99 ,596,2/21/2018,north
lapis morsel,$1.99 ,572,2/21/2018,south
lapis morsel,$1.99 ,524,2/21/2018,east
lapis morsel,$1.99 ,537,2/21/2018,west
pink morsel,$3.00 ,545,2/22/2018,north
pink morsel,$3.00 ,544,2/22/2018,south
pink morsel,$3.00 ,556,2/22/2018,east
pink morsel,$3.00 ,588,2/22/2018,west
gold morsel,$9.99 ,529,2/22/2018,north
gold morsel,$9.99 ,531,2/22/2018,south
gold morsel,$9.99 ,516,2/22/2018,east
gold morsel,$9.99 ,542,2/22/2018,west
magenta morsel,$2.50 ,577,2/22/2018,north
magenta morsel,$2.50 ,525,2/22/2018,south
magenta morsel,$2.50 ,520,2/22/2018,east
magenta morsel,$2.50 ,530,2/22/2018,west
chartreuse morsel,$3.00 ,554,2/22/2018,north
chartreuse morsel,$3.00 ,528,2/22/2018,south
chartreuse morsel,$3.00 ,533,2/22/2018,east
chartreuse morsel,$3.00 ,521,2/22/2018,west
periwinkle morsel,$1.25 ,576,2/22/2018,north
periwinkle morsel,$1.25 ,586,2/22/2018,south
periwinkle morsel,$1.25 ,521,2/22/2018,east
periwinkle morsel,$1.25 ,507,2/22/2018,west
vermilion morsel,$4.99 ,524,2/22/2018,north
vermilion morsel,$4.99 ,522,2/22/2018,south
vermilion morsel,$4.99 ,543,2/22/2018,east
vermilion morsel,$4.99 ,573,2/22/2018,west
lapis morsel,$1.99 ,505,2/22/2018,north
lapis morsel,$1.99 ,508,2/22/2018,south
lapis morsel,$1.99 ,579,2/22/2018,east
lapis morsel,$1.99 ,600,2/22/2018,west
pink morsel,$3.00 ,511,2/23/2018,north
pink morsel,$3.00 ,521,2/23/2018,south
pink morsel,$3.00 ,547,2/23/2018,east
pink morsel,$3.00 ,591,2/23/2018,west
gold morsel,$9.99 ,519,2/23/2018,north
gold morsel,$9.99 ,536,2/23/2018,south
gold morsel,$9.99 ,551,2/23/2018,east
gold morsel,$9.99 ,541,2/23/2018,west
magenta morsel,$2.50 ,502,2/23/2018,north
magenta morsel,$2.50 ,578,2/23/2018,south
magenta morsel,$2.50 ,516,2/23/2018,east
magenta morsel,$2.50 ,582,2/23/2018,west
chartreuse morsel,$3.00 ,546,2/23/2018,north
chartreuse morsel,$3.00 ,527,2/23/2018,south
chartreuse morsel,$3.00 ,578,2/23/2018,east
chartreuse morsel,$3.00 ,550,2/23/2018,west
periwinkle morsel,$1.25 ,562,2/23/2018,north
periwinkle morsel,$1.25 ,519,2/23/2018,south
periwinkle morsel,$1.25 ,506,2/23/2018,east
periwinkle morsel,$1.25 ,592,2/23/2018,west
vermilion morsel,$4.99 ,521,2/23/2018,north
vermilion morsel,$4.99 ,578,2/23/2018,south
vermilion morsel,$4.99 ,599,2/23/2018,east
vermilion morsel,$4.99 ,521,2/23/2018,west
lapis morsel,$1.99 ,501,2/23/2018,north
lapis morsel,$1.99 ,523,2/23/2018,south
lapis morsel,$1.99 ,551,2/23/2018,east
lapis morsel,$1.99 ,600,2/23/2018,west
pink morsel,$3.00 ,543,2/24/2018,north
pink morsel,$3.00 ,566,2/24/2018,south
pink morsel,$3.00 ,575,2/24/2018,east
pink morsel,$3.00 ,574,2/24/2018,west
gold morsel,$9.99 ,532,2/24/2018,north
gold morsel,$9.99 ,538,2/24/2018,south
gold morsel,$9.99 ,565,2/24/2018,east
gold morsel,$9.99 ,507,2/24/2018,west
magenta morsel,$2.50 ,518,2/24/2018,north
magenta morsel,$2.50 ,589,2/24/2018,south
magenta morsel,$2.50 ,547,2/24/2018,east
magenta morsel,$2.50 ,511,2/24/2018,west
chartreuse morsel,$3.00 ,583,2/24/2018,north
chartreuse morsel,$3.00 ,528,2/24/2018,south
chartreuse morsel,$3.00 ,520,2/24/2018,east
chartreuse morsel,$3.00 ,552,2/24/2018,west
periwinkle morsel,$1.25 ,548,2/24/2018,north
periwinkle morsel,$1.25 ,500,2/24/2018,south
periwinkle morsel,$1.25 ,570,2/24/2018,east
periwinkle morsel,$1.25 ,599,2/24/2018,west
vermilion morsel,$4.99 ,528,2/24/2018,north
vermilion morsel,$4.99 ,592,2/24/2018,south
vermilion morsel,$4.99 ,538,2/24/2018,east
vermilion morsel,$4.99 ,565,2/24/2018,west
lapis morsel,$1.99 ,598,2/24/2018,north
lapis morsel,$1.99 ,501,2/24/2018,south
lapis morsel,$1.99 ,556,2/24/2018,east
lapis morsel,$1.99 ,550,2/24/2018,west
pink morsel,$3.00 ,532,2/25/2018,north
pink morsel,$3.00 ,570,2/25/2018,south
pink morsel,$3.00 ,545,2/25/2018,east
pink morsel,$3.00 ,553,2/25/2018,west
gold morsel,$9.99 ,583,2/25/2018,north
gold morsel,$9.99 ,600,2/25/2018,south
gold morsel,$9.99 ,586,2/25/2018,east
gold morsel,$9.99 ,574,2/25/2018,west
magenta morsel,$2.50 ,554,2/25/2018,north
magenta morsel,$2.50 ,526,2/25/2018,south
magenta morsel,$2.50 ,588,2/25/2018,east
magenta morsel,$2.50 ,566,2/25/2018,west
chartreuse morsel,$3.00 ,511,2/25/2018,north
chartreuse morsel,$3.00 ,523,2/25/2018,south
chartreuse morsel,$3.00 ,527,2/25/2018,east
chartreuse morsel,$3.00 ,521,2/25/2018,west
periwinkle morsel,$1.25 ,541,2/25/2018,north
